datetime,symbol,open,high,low,close,volume
2025-04-04 10:39:00,BINANCE:BTCUSDT,82675.71,82776.26,82675.71,82776.26,8.88074
2025-04-04 10:40:00,BINANCE:BTCUSDT,82776.26,82870.0,82776.26,82836.76,36.38324
2025-04-04 10:41:00,BINANCE:BTCUSDT,82836.76,82856.22,82828.47,82848.84,8.9767
2025-04-04 10:42:00,BINANCE:BTCUSDT,82848.84,82864.82,82848.84,82864.82,3.22852
2025-04-04 10:43:00,BINANCE:BTCUSDT,82864.81,82875.06,82812.47,82860.3,18.79095
2025-04-04 10:44:00,BINANCE:BTCUSDT,82860.29,82862.49,82812.83,82823.32,6.27186
2025-04-04 10:45:00,BINANCE:BTCUSDT,82823.32,82878.0,82823.31,82858.1,8.71489
2025-04-04 10:46:00,BINANCE:BTCUSDT,82858.1,82868.7,82847.44,82868.69,2.12631
2025-04-04 10:47:00,BINANCE:BTCUSDT,82868.69,82918.16,82868.69,82918.15,11.77256
2025-04-04 10:48:00,BINANCE:BTCUSDT,82918.15,82930.95,82871.75,82882.6,8.46516
2025-04-04 10:49:00,BINANCE:BTCUSDT,82882.61,82900.99,82875.28,82896.61,5.57137
2025-04-04 10:50:00,BINANCE:BTCUSDT,82896.61,82941.06,82896.61,82926.6,28.77514
2025-04-04 10:51:00,BINANCE:BTCUSDT,82927.3,82968.0,82927.29,82960.25,4.13599
2025-04-04 10:52:00,BINANCE:BTCUSDT,82960.24,83000.0,82960.24,82989.02,21.85335
2025-04-04 10:53:00,BINANCE:BTCUSDT,82989.02,83000.0,82989.02,83000.0,9.3447
2025-04-04 10:54:00,BINANCE:BTCUSDT,82999.99,83000.0,82992.45,82999.99,37.2903
2025-04-04 10:55:00,BINANCE:BTCUSDT,82999.99,83035.4,82999.99,83024.31,56.79171
2025-04-04 10:56:00,BINANCE:BTCUSDT,83024.32,83036.45,83021.74,83030.01,9.09322
2025-04-04 10:57:00,BINANCE:BTCUSDT,83030.0,83036.47,83022.34,83036.46,6.77497
